================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : C14_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    194.99     20.00   1.000   1.000     545.726       0.000    0.485     0.485    1.466      ✗
    220.62     20.00   1.000   1.000     486.953     220.532    0.486     0.538    1.131      ✗
    194.59     20.00   1.000   1.000     544.219       0.000    0.487     0.487    1.470      ✗
    303.10     15.00   1.000   1.000     418.391     522.741    0.487     0.600    0.850      ✗
    221.02     20.00   1.000   1.000     485.446     220.532    0.487     0.539    1.133      ✗
    194.19     20.00   1.000   1.000     542.712       0.000    0.488     0.488    1.474      ✗
    221.42     20.00   1.000   1.000     483.939     220.532    0.488     0.541    1.136      ✗
    193.79     20.00   1.000   1.000     541.205       0.000    0.489     0.489    1.478      ✗
    221.82     20.00   1.000   1.000     482.432     220.532    0.490     0.543    1.138      ✗
    303.50     15.00   1.000   1.000     414.819     522.741    0.490     0.605    0.853      ✗
    193.39     20.00   1.000   1.000     539.698       0.000    0.491     0.491    1.482      ✗
    222.22     20.00   1.000   1.000     480.925     220.532    0.491     0.544    1.140      ✗
    192.99     20.00   1.000   1.000     538.191       0.000    0.492     0.492    1.486      ✗
    222.62     20.00   1.000   1.000     479.418     220.532    0.492     0.546    1.143      ✗
    303.90     15.00   1.000   1.000     411.246     522.741    0.493     0.609    0.857      ✗
    192.59     20.00   1.000   1.000     536.684       0.000    0.493     0.493    1.491      ✗
    223.02     20.00   1.000   1.000     477.911     220.532    0.494     0.548    1.145      ✗
    192.19     20.00   1.000   1.000     535.177       0.000    0.495     0.495    1.495      ✗
    223.42     20.00   1.000   1.000     476.404     220.532    0.495     0.549    1.148      ✗
    304.30     15.00   1.000   1.000     407.674     522.741    0.496     0.614    0.860      ✗
    191.79     20.00   1.000   1.000     533.670       0.000    0.496     0.496    1.499      ✗
    223.82     20.00   1.000   1.000     474.897     220.532    0.497     0.551    1.150      ✗
    191.39     20.00   1.000   1.000     532.163       0.000    0.498     0.498    1.503      ✗
    224.22     20.00   1.000   1.000     473.390     220.532    0.498     0.553    1.153      ✗
    190.99     20.00   1.000   1.000     530.656       0.000    0.499     0.499    1.508      ✗
    304.70     15.00   1.000   1.000     404.102     522.741    0.499     0.618    0.863      ✗
    224.62     20.00   1.000   1.000     471.883     220.532    0.499     0.555    1.155      ✗
    190.59     20.00   1.000   1.000     529.149       0.000    0.501     0.501    1.512      ✗
    225.03     20.00   1.000   1.000     470.376     220.532    0.501     0.556    1.158      ✗
    190.19     20.00   1.000   1.000     527.642       0.000    0.502     0.502    1.516      ✗
    225.43     20.00   1.000   1.000     468.869     220.532    0.502     0.558    1.160      ✗
    305.11     15.00   1.000   1.000     400.530     522.741    0.503     0.623    0.866      ✗
    189.79     20.00   1.000   1.000     526.135       0.000    0.503     0.503    1.521      ✗
    225.83     20.00   1.000   1.000     467.362     220.532    0.504     0.560    1.163      ✗
    189.39     20.00   1.000   1.000     524.628       0.000    0.505     0.505    1.525      ✗
    226.23     20.00   1.000   1.000     465.855     220.532    0.505     0.562    1.166      ✗
    305.51     15.00   1.000   1.000     396.958     522.741    0.506     0.628    0.870      ✗
    188.99     20.00   1.000   1.000     523.121       0.000    0.506     0.506    1.529      ✗
    226.63     20.00   1.000   1.000     464.348     220.532    0.507     0.563    1.168      ✗
    188.59     20.00   1.000   1.000     521.614       0.000    0.508     0.508    1.534      ✗
    227.03     20.00   1.000   1.000     462.841     220.532    0.508     0.565    1.171      ✗
    188.19     20.00   1.000   1.000     520.107       0.000    0.509     0.509    1.538      ✗
    305.91     15.00   1.000   1.000     393.386     522.741    0.509     0.632    0.873      ✗
    227.43     20.00   1.000   1.000     461.334     220.532    0.510     0.567    1.173      ✗
    187.79     20.00   1.000   1.000     518.600       0.000    0.511     0.511    1.543      ✗
    227.83     20.00   1.000   1.000     459.827     220.532    0.511     0.569    1.176      ✗
    187.39     20.00   1.000   1.000     517.093       0.000    0.512     0.512    1.547      ✗
    228.23     20.00   1.000   1.000     458.320     220.532    0.513     0.571    1.178      ✗
