================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_reducer_2stages
Element  : shaft_3
Script   : shaft_3.py
Date     : 2026-05-29 14:48:37
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
  ----------------------------------------------------------------------------
     50.05     40.00   1.000   1.000      38.808      41.350    5.021     6.022    9.980      ✓
     50.45     40.00   1.000   1.000      38.761      41.350    5.026     6.028    9.986      ✓
     50.85     40.00   1.000   1.000      38.714      41.350    5.031     6.035    9.992      ✓
     51.25     40.00   1.000   1.000      38.667      41.350    5.036     6.042    9.998      ✓
     51.65     40.00   1.000   1.000      38.620      41.350    5.040     6.048   10.004      ✓
     52.05     40.00   1.000   1.000      38.572      41.350    5.045     6.055   10.010      ✓
     52.45     40.00   1.000   1.000      38.525      41.350    5.050     6.062   10.016      ✓
     52.85     40.00   1.000   1.000      38.478      41.350    5.055     6.068   10.022      ✓
     53.25     40.00   1.000   1.000      38.431      41.350    5.060     6.075   10.027      ✓
     53.65     40.00   1.000   1.000      38.384      41.350    5.065     6.082   10.033      ✓
     54.05     40.00   1.000   1.000      38.337      41.350    5.070     6.088   10.039      ✓
     54.45     40.00   1.000   1.000      38.290      41.350    5.075     6.095   10.045      ✓
     54.85     40.00   1.000   1.000      38.243      41.350    5.080     6.102   10.051      ✓
     55.26     40.00   1.000   1.000      38.196      41.350    5.085     6.109   10.057      ✓
     55.66     40.00   1.000   1.000      38.149      41.350    5.089     6.116   10.063      ✓
     56.06     40.00   1.000   1.000      38.101      41.350    5.094     6.122   10.069      ✓
     56.46     40.00   1.000   1.000      38.054      41.350    5.099     6.129   10.075      ✓
     56.86     40.00   1.000   1.000      38.007      41.350    5.104     6.136   10.081      ✓
     57.26     40.00   1.000   1.000      37.960      41.350    5.109     6.143   10.087      ✓
     57.66     40.00   1.000   1.000      37.913      41.350    5.114     6.150   10.093      ✓
     58.06     40.00   1.000   1.000      37.866      41.350    5.119     6.157   10.099      ✓
     58.46     40.00   1.000   1.000      37.819      41.350    5.124     6.163   10.105      ✓
     58.86     40.00   1.000   1.000      37.772      41.350    5.129     6.170   10.111      ✓
     59.26     40.00   1.000   1.000      37.725      41.350    5.135     6.177   10.117      ✓
     59.66     40.00   1.000   1.000      37.678      41.350    5.140     6.184   10.123      ✓
     60.06     40.00   1.000   1.000      37.631      41.350    5.145     6.191   10.129      ✓
     60.46     40.00   1.000   1.000      37.583      41.350    5.150     6.198   10.135      ✓
     60.86     40.00   1.000   1.000      37.536      41.350    5.155     6.205   10.141      ✓
     61.26     40.00   1.000   1.000      37.489      41.350    5.160     6.212   10.147      ✓
     61.66     40.00   1.000   1.000      37.442      41.350    5.165     6.219   10.153      ✓
     62.06     40.00   1.000   1.000      37.395      41.350    5.170     6.226   10.159      ✓
     62.46     40.00   1.000   1.000      37.348      41.350    5.175     6.233   10.165      ✓
     62.86     40.00   1.000   1.000      37.301      41.350    5.180     6.240   10.172      ✓
     63.26     40.00   1.000   1.000      37.254      41.350    5.186     6.247   10.178      ✓
     63.66     40.00   1.000   1.000      37.207      41.350    5.191     6.254   10.184      ✓
     64.06     40.00   1.000   1.000      37.160      41.350    5.196     6.261   10.190      ✓
     64.46     40.00   1.000   1.000      37.112      41.350    5.201     6.269   10.196      ✓
     64.86     40.00   1.000   1.000      37.065      41.350    5.206     6.276   10.202      ✓
     65.27     40.00   1.000   1.000      37.018      41.350    5.211     6.283   10.208      ✓
     65.67     40.00   1.000   1.000      36.971      41.350    5.217     6.290   10.214      ✓
     66.07     40.00   1.000   1.000      36.924      41.350    5.222     6.297   10.221      ✓
     66.47     40.00   1.000   1.000      36.877      41.350    5.227     6.304   10.227      ✓
     66.87     40.00   1.000   1.000      36.830      41.350    5.232     6.312   10.233      ✓
     67.27     40.00   1.000   1.000      36.783      41.350    5.238     6.319   10.239      ✓
     67.67     40.00   1.000   1.000      36.736      41.350    5.243     6.326   10.245      ✓
     68.07     40.00   1.000   1.000      36.689      41.350    5.248     6.333   10.251      ✓
     68.47     40.00   1.000   1.000      36.642      41.350    5.253     6.341   10.258      ✓
     68.87     40.00   1.000   1.000      36.594      41.350    5.259     6.348   10.264      ✓
     69.27     40.00   1.000   1.000      36.547      41.350    5.264     6.355   10.270      ✓
     69.67     40.00   1.000   1.000      36.500      41.350    5.269     6.362   10.276      ✓
     70.07     40.00   1.000   1.000      36.453      41.350    5.275     6.370   10.282      ✓
     70.47     40.00   1.000   1.000      36.406      41.350    5.280     6.377   10.289      ✓
     70.87     40.00   1.000   1.000      36.359      41.350    5.285     6.384   10.295      ✓
     71.27     40.00   1.000   1.000      36.312      41.350    5.291     6.392   10.301      ✓
     71.67     40.00   1.000   1.000      36.265      41.350    5.296     6.399   10.307      ✓
     72.07     40.00   1.000   1.000      36.218      41.350    5.301     6.407   10.314      ✓
     72.47     40.00   1.000   1.000      36.171      41.350    5.307     6.414   10.320      ✓
     72.87     40.00   1.000   1.000      36.124      41.350    5.312     6.422   10.326      ✓
     73.27     40.00   1.000   1.000      36.076      41.350    5.318     6.429   10.332      ✓
     73.67     40.00   1.000   1.000      36.029      41.350    5.323     6.436   10.339      ✓
     74.07     40.00   1.000   1.000      35.982      41.350    5.328     6.444   10.345      ✓
     74.47     40.00   1.000   1.000      35.935      41.350    5.334     6.451   10.351      ✓
     74.87     40.00   1.000   1.000      35.888      41.350    5.339     6.459   10.358      ✓
     75.28     40.00   1.000   1.000      35.841      41.350    5.345     6.467   10.364      ✓
     75.68     40.00   1.000   1.000      35.794      41.350    5.350     6.474   10.370      ✓
     76.08     40.00   1.000   1.000      35.747      41.350    5.356     6.482   10.377      ✓
     76.48     40.00   1.000   1.000      35.700      41.350    5.361     6.489   10.383      ✓
     76.88     40.00   1.000   1.000      35.653      41.350    5.367     6.497   10.389      ✓
     77.28     40.00   1.000   1.000      35.605      41.350    5.372     6.504   10.396      ✓
     77.68     40.00   1.000   1.000      35.558      41.350    5.378     6.512   10.402      ✓
     78.08     40.00   1.000   1.000      35.511      41.350    5.383     6.520   10.408      ✓
     78.48     40.00   1.000   1.000      35.464      41.350    5.389     6.527   10.415      ✓
     78.88     40.00   1.000   1.000      35.417      41.350    5.394     6.535   10.421      ✓
     79.28     40.00   1.000   1.000      35.370      41.350    5.400     6.543   10.428      ✓
     79.68     40.00   1.000   1.000      35.323      41.350    5.406     6.551   10.434      ✓
     80.08     40.00   1.000   1.000      35.276      41.350    5.411     6.558   10.440      ✓
     80.48     40.00   1.000   1.000      35.229      41.350    5.417     6.566   10.447      ✓
     80.88     40.00   1.000   1.000      35.182      41.350    5.422     6.574   10.453      ✓
     81.28     40.00   1.000   1.000      35.135      41.350    5.428     6.582   10.460      ✓
     81.68     40.00   1.000   1.000      35.087      41.350    5.434     6.589   10.466      ✓
     82.08     40.00   1.000   1.000      35.040      41.350    5.439     6.597   10.473      ✓
     82.48     40.00   1.000   1.000      34.993      41.350    5.445     6.605   10.479      ✓
     82.88     40.00   1.000   1.000      34.946      41.350    5.451     6.613   10.486      ✓
     83.28     40.00   1.000   1.000      34.899      41.350    5.456     6.621   10.492      ✓
     83.68     40.00   1.000   1.000      34.852      41.350    5.462     6.629   10.498      ✓
     84.08     40.00   1.000   1.000      34.805      41.350    5.468     6.637   10.505      ✓
     84.48     40.00   1.000   1.000      34.758      41.350    5.474     6.645   10.511      ✓
     84.88     40.00   1.000   1.000      34.711      41.350    5.479     6.653   10.518      ✓
     85.29     40.00   1.000   1.000      34.664      41.350    5.485     6.660   10.524      ✓
