================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_reducer_2stages
Element  : shaft_2
Script   : shaft_2.py
Date     : 2026-05-29 12:15:22
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
  ----------------------------------------------------------------------------
    400.00     40.00   1.000   1.000     964.463      68.916    0.251     0.255    0.774      ✗
    399.60     40.00   1.000   1.000     963.039      68.916    0.251     0.255    0.775      ✗
    399.20     40.00   1.000   1.000     961.614      68.916    0.251     0.256    0.776      ✗
    398.80     40.00   1.000   1.000     960.189      68.916    0.252     0.256    0.777      ✗
    398.40     40.00   1.000   1.000     958.765      68.916    0.252     0.256    0.778      ✗
    398.00     40.00   1.000   1.000     957.340      68.916    0.252     0.257    0.780      ✗
    397.60     40.00   1.000   1.000     955.916      68.916    0.253     0.257    0.781      ✗
    397.20     40.00   1.000   1.000     954.491      68.916    0.253     0.258    0.782      ✗
    396.80     40.00   1.000   1.000     953.066      68.916    0.254     0.258    0.783      ✗
    396.40     40.00   1.000   1.000     951.642      68.916    0.254     0.258    0.784      ✗
    396.00     40.00   1.000   1.000     950.217      68.916    0.254     0.259    0.785      ✗
    395.60     40.00   1.000   1.000     948.793      68.916    0.255     0.259    0.786      ✗
    395.20     40.00   1.000   1.000     947.368      68.916    0.255     0.260    0.787      ✗
    394.79     40.00   1.000   1.000     945.943      68.916    0.255     0.260    0.788      ✗
    394.39     40.00   1.000   1.000     944.519      68.916    0.256     0.260    0.789      ✗
    393.99     40.00   1.000   1.000     943.094      68.916    0.256     0.261    0.791      ✗
    393.59     40.00   1.000   1.000     941.670      68.916    0.257     0.261    0.792      ✗
    393.19     40.00   1.000   1.000     940.245      68.916    0.257     0.261    0.793      ✗
    392.79     40.00   1.000   1.000     938.821      68.916    0.257     0.262    0.794      ✗
    392.39     40.00   1.000   1.000     937.396      68.916    0.258     0.262    0.795      ✗
    391.99     40.00   1.000   1.000     935.971      68.916    0.258     0.263    0.796      ✗
    391.59     40.00   1.000   1.000     934.547      68.916    0.258     0.263    0.797      ✗
    391.19     40.00   1.000   1.000     933.122      68.916    0.259     0.263    0.798      ✗
    390.79     40.00   1.000   1.000     931.698      68.916    0.259     0.264    0.800      ✗
    390.39     40.00   1.000   1.000     930.273      68.916    0.260     0.264    0.801      ✗
    389.99     40.00   1.000   1.000     928.848      68.916    0.260     0.265    0.802      ✗
    389.59     40.00   1.000   1.000     927.424      68.916    0.260     0.265    0.803      ✗
    389.19     40.00   1.000   1.000     925.999      68.916    0.261     0.265    0.804      ✗
    388.79     40.00   1.000   1.000     924.575      68.916    0.261     0.266    0.805      ✗
    388.39     40.00   1.000   1.000     923.150      68.916    0.262     0.266    0.806      ✗
    387.99     40.00   1.000   1.000     921.725      68.916    0.262     0.267    0.808      ✗
    387.59     40.00   1.000   1.000     920.301      68.916    0.262     0.267    0.809      ✗
    387.19     40.00   1.000   1.000     918.876      68.916    0.263     0.268    0.810      ✗
    386.79     40.00   1.000   1.000     917.452      68.916    0.263     0.268    0.811      ✗
    386.39     40.00   1.000   1.000     916.027      68.916    0.264     0.268    0.812      ✗
    385.99     40.00   1.000   1.000     914.602      68.916    0.264     0.269    0.813      ✗
    385.59     40.00   1.000   1.000     913.178      68.916    0.264     0.269    0.815      ✗
    385.19     40.00   1.000   1.000     911.753      68.916    0.265     0.270    0.816      ✗
    384.78     40.00   1.000   1.000     910.329      68.916    0.265     0.270    0.817      ✗
    384.38     40.00   1.000   1.000     908.904      68.916    0.266     0.270    0.818      ✗
    383.98     40.00   1.000   1.000     907.479      68.916    0.266     0.271    0.819      ✗
    383.58     40.00   1.000   1.000     906.055      68.916    0.266     0.271    0.821      ✗
    383.18     40.00   1.000   1.000     904.630      68.916    0.267     0.272    0.822      ✗
    382.78     40.00   1.000   1.000     903.206      68.916    0.267     0.272    0.823      ✗
    382.38     40.00   1.000   1.000     901.781      68.916    0.268     0.273    0.824      ✗
    381.98     40.00   1.000   1.000     900.356      68.916    0.268     0.273    0.825      ✗
    381.58     40.00   1.000   1.000     898.932      68.916    0.268     0.273    0.827      ✗
    381.18     40.00   1.000   1.000     897.507      68.916    0.269     0.274    0.828      ✗
    380.78     40.00   1.000   1.000     896.083      68.916    0.269     0.274    0.829      ✗
